FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS17,PCH_REDEMP_SNAPS_12_17,PCT_SNAP12*,PCT_SNAP17*,PCH_SNAP_12_17*,PC_SNAPBEN12,PC_SNAPBEN17,PCH_PC_SNAPBEN_12_17,SNAP_PART_RATE11*,SNAP_PART_RATE16*,SNAP_OAPP09*,SNAP_OAPP16*,SNAP_CAP09*,SNAP_CAP16*,SNAP_BBCE09*,SNAP_BBCE16*,SNAP_REPORTSIMPLE09*,SNAP_REPORTSIMPLE16*,PCT_NSLP12*,PCT_NSLP17*,PCH_NSLP_12_17*,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PCT_SBP12*,PCT_SBP17*,PCH_SBP_12_17*,PCT_SFSP12*,PCT_SFSP17*,PCH_SFSP_12_17*,PC_WIC_REDEMP11,PC_WIC_REDEMP16,PCH_PC_WIC_REDEMP_11_16,REDEMP_WICS11,REDEMP_WICS16,PCH_REDEMP_WICS_11_16,PCT_WIC12*,PCT_WIC17*,PCH_WIC_12_17*,PCT_WICINFANTCHILD14*,PCT_WICINFANTCHILD16*,PCH_WICINFANTCHILD_14_16*,PCT_WICWOMEN14*,PCT_WICWOMEN16*,PCH_WICWOMEN_14_16*,PCT_CACFP12*,PCT_CACFP17*,PCH_CACFP_12_17*,FDPIR12,FDPIR15,PCH_FDPIR_12_15,FOOD_BANKS18
36091,NY,Saratoga,"164,983.13464991024","113,451.81327423823",-31.234296454010334,15.67820276611815,14.664897410747802,-1.0133053553703473,9.777494430541992,7.054017543792725,-27.85454750061035,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,11.900579659230633,20.188367683933706,4.5377364014286545,3.2903186349458746,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,6.716881275177002,5.775174140930176,-14.020005226135254,"92,813.8671875","69,012.71875",-25.643957138061523,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36093,NY,Schenectady,"271,046.88772727276","221,255.9257142857",-18.369870405258702,15.67820276611815,14.664897410747802,-1.0133053553703473,22.16790771484375,18.117292404174805,-18.272430419921875,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,30.722865814559913,37.07945597709377,6.839652887615953,3.3554044380816035,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,15.000908851623535,15.163705825805664,1.0852473974227905,"129,054.484375","123,283.3203125",-4.471881866455078,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36095,NY,Schoharie,"219,204.53007194246","151,874.8453012048",-30.71546228932413,15.67820276611815,14.664897410747802,-1.0133053553703473,16.366727828979492,13.65372371673584,-16.576337814331055,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,26.902173913043477,40.42701322812717,9.803511705685619,8.888373172429798,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,11.689082145690918,9.324520111083984,-20.228809356689453,"95,327.390625","72,980.6875",-23.442058563232422,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36097,NY,Schuyler,"248,556.36789473682","155,247.9155801105",-37.540157633033274,15.67820276611815,14.664897410747802,-1.0133053553703473,19.581056594848633,14.333333015441895,-26.800003051757812,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,27.01298701298701,41.41509433962264,6.926406926406926,7.783018867924528,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,,,,"77,906.859375","112,800.7578125",44.789249420166016,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36099,NY,Seneca,"217,031.17906976742","141,238.30336283185",-34.922574734098916,15.67820276611815,14.664897410747802,-1.0133053553703473,12.030723571777344,10.906429290771484,-9.345192909240723,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,28.34175470831419,,9.163987138263666,,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,10.06874942779541,9.358213424682617,-7.056844711303711,"71,113.5625","81,255.0234375",14.260937690734863,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36101,NY,Steuben,"223,117.3124919094","193,539.38981210857",-13.2566685881327,15.67820276611815,14.664897410747802,-1.0133053553703473,16.59710121154785,13.278840065002441,-19.993017196655273,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,34.599728629579374,41.22030740568235,12.267176514123596,8.656597245325703,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,14.555411338806152,13.576150894165039,-6.727810382843018,"75,952.4296875","93,961.5078125",23.710996627807617,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36103,NY,Suffolk,"308,787.2200081598","235,878.67876717413",-23.611256074347587,15.67820276611815,14.664897410747802,-1.0133053553703473,10.058547973632812,9.9266357421875,-1.3114440441131592,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,18.510542985358494,30.949557828170544,5.741466979982867,4.51970423068689,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,11.784217834472656,11.604246139526367,-1.527226448059082,"121,811.265625","116,575.9453125",-4.2978949546813965,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,1
36105,NY,Sullivan,"285,931.6361866125","229,033.06474383303",-19.89936202989611,15.67820276611815,14.664897410747802,-1.0133053553703473,21.811767578125,21.920469284057617,0.49836266040802,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,35.75883575883576,,9.04860904860905,,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,17.907123565673828,18.458263397216797,3.077768564224243,"91,979.34375","138,394.515625",50.46260452270508,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36107,NY,Tioga,"144,137.91496296297","98,803.45309576839",-31.452142122940742,15.67820276611815,14.664897410747802,-1.0133053553703473,16.818811416625977,12.871052742004395,-23.472280502319336,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,30.6625386996904,43.15417810906238,10.055727554179567,6.185432195632274,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,9.19250774383545,7.651758193969727,-16.760927200317383,"46,764.125","53,367.734375",14.121101379394531,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
36109,NY,Tompkins,"256,081.4918777293","186,464.9572826087",-27.185304992037562,15.67820276611815,14.664897410747802,-1.0133053553703473,12.58081340789795,9.61813735961914,-23.549161911010742,78.52,92.754,0.5,1,1,1,1,1,1,1,56.89406790032932,54.959063499631746,-1.9350044006975722,28.066979003990976,34.23159018143009,6.411591185146626,5.771967271433653,20.402411476527774,25.09393810919609,4.691526632668314,11.68858564841723,13.770330492029048,2.0817448436118173,7.713978290557861,8.243249893188477,6.861201763153076,"71,390.0625","77,140.3359375",8.054725646972656,2.6707625981196115,2.1934266120601436,-0.4773359860594679,31.33497057913725,29.61600139401037,-1.718969185126877,2.8322022631938153,2.65355797165047,-0.17864429154334527,1.5153837048695393,1.568963120747384,0.05357941587784465,0,0,0,0
