,FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12*,PCT_OBESE_ADULTS17*,PCT_HSPA17*,RECFAC11,RECFAC16,PCH_RECFAC_11_16,RECFACPTH11,RECFACPTH16,PCH_RECFACPTH_11_16,geo_type
2897,51163.0,VA,Rockbridge,10.7,11.4,27.4,30.1,,1.0,0.0,-100.0,0.0445653,0.0,-100.0,county
2898,51165.0,VA,Rockingham,9.5,9.9,27.4,30.1,,5.0,5.0,0.0,0.065062655,0.063053293,-3.0883502739999997,county
2899,51167.0,VA,Russell,12.2,11.5,27.4,30.1,,1.0,0.0,-100.0,0.034896699999999996,0.0,-100.0,county
2900,51169.0,VA,Scott,10.4,14.1,27.4,30.1,,2.0,0.0,-100.0,0.08672650800000001,0.0,-100.0,county
2901,51171.0,VA,Shenandoah,11.5,10.5,27.4,30.1,,2.0,2.0,0.0,0.047323800000000006,0.046589599999999995,-1.551434961,county
2902,51173.0,VA,Smyth,9.8,9.7,27.4,30.1,,2.0,2.0,0.0,0.062414199999999996,0.064360418,3.1182622689999997,county
2903,51175.0,VA,Southampton,11.5,12.6,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,county
2904,51177.0,VA,Spotsylvania,9.5,12.6,27.4,30.1,,13.0,11.0,-15.384615385,0.10438916300000001,0.083710665,-19.80904602,county
2905,51179.0,VA,Stafford,8.1,8.3,27.4,30.1,,13.0,11.0,-15.384615385,0.098330648,0.07666734,-22.031084049,county
2906,51181.0,VA,Surry,12.7,14.0,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,county
2907,51183.0,VA,Sussex,12.0,13.5,27.4,30.1,,2.0,1.0,-50.0,0.165494415,0.087519692,-47.116226151000006,county
2908,51185.0,VA,Tazewell,11.3,15.3,27.4,30.1,,3.0,1.0,-66.666666667,0.067057088,0.0237835,-64.532496155,county
2909,51187.0,VA,Warren,9.9,10.6,27.4,30.1,,3.0,5.0,66.666666667,0.079738458,0.127988532,60.510418267,county
2910,51191.0,VA,Washington,11.3,13.1,27.4,30.1,,1.0,2.0,100.0,0.0182475,0.0368752,102.083448568,county
2911,51193.0,VA,Westmoreland,12.5,13.5,27.4,30.1,,1.0,1.0,0.0,0.056734400000000004,0.0566283,-0.18687354899999997,county
2912,51195.0,VA,Wise,10.5,12.1,27.4,30.1,,1.0,2.0,100.0,0.0241319,0.0512374,112.322590562,county
2913,51197.0,VA,Wythe,11.2,12.1,27.4,30.1,,2.0,2.0,0.0,0.06852131,0.069103725,0.8499758140000001,county
2914,51199.0,VA,York,10.0,9.5,27.4,30.1,,7.0,9.0,28.571428571,0.106284448,0.132857016,25.001370747,county
2915,51510.0,VA,Alexandria,7.4,6.2,27.4,30.1,,17.0,29.0,70.588235294,0.117567325,0.18437515899999998,56.825171958999995,city
2916,51515.0,VA,Bedford,12.6,,27.4,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,city
2917,51520.0,VA,Bristol,10.7,10.5,27.4,30.1,,3.0,4.0,33.333333333,0.169290672,0.236308856,39.587641047,city
2918,51530.0,VA,Buena Vista,10.3,9.7,27.4,30.1,,1.0,1.0,0.0,0.148809524,0.156641604,5.263157895,city
2919,51540.0,VA,Charlottesville,8.9,8.3,27.4,30.1,,11.0,13.0,18.181818182,0.250941029,0.27492281,9.556739838,city
2920,51550.0,VA,Chesapeake,9.7,10.2,27.4,30.1,,18.0,31.0,72.222222222,0.079864762,0.13045985,63.350952426999996,city
2921,51570.0,VA,Colonial Heights,10.3,11.6,27.4,30.1,,4.0,2.0,-50.0,0.23140113399999998,0.11336583199999999,-51.00895590100001,city
2922,51580.0,VA,Covington,11.1,10.7,27.4,30.1,,0.0,1.0,,0.0,0.17914725899999998,,city
2923,51590.0,VA,Danville,12.9,15.3,27.4,30.1,,8.0,7.0,-12.5,0.187608461,0.16809547800000002,-10.400907716,city
2924,51595.0,VA,Emporia,13.4,13.4,27.4,30.1,,2.0,1.0,-50.0,0.34258307600000004,0.186046512,-45.693023256000004,city
2925,51600.0,VA,Fairfax,9.6,7.5,27.4,30.1,,14.0,17.0,21.428571429,0.622720399,0.713476308,14.574102609,city
2926,51610.0,VA,Falls Church,10.5,10.2,27.4,30.1,,6.0,8.0,33.333333333,0.471883602,0.576867609,22.247860783,city
2927,51620.0,VA,Franklin,13.0,14.9,27.4,30.1,,1.0,1.0,0.0,0.11837121199999999,0.121536218,2.673796791,city
2928,51630.0,VA,Fredericksburg,10.0,8.9,27.4,30.1,,4.0,4.0,0.0,0.155273475,0.141487744,-8.878355912,city
2929,51640.0,VA,Galax,10.7,10.8,27.4,30.1,,1.0,0.0,-100.0,0.146092038,0.0,-100.0,city
2930,51650.0,VA,Hampton,11.5,12.4,27.4,30.1,,10.0,15.0,50.0,0.073224132,0.11083853,51.368855851000006,city
2931,51660.0,VA,Harrisonburg,7.7,6.7,27.4,30.1,,5.0,6.0,20.0,0.100004,0.111228519,11.224069852000001,city
2932,51670.0,VA,Hopewell,11.8,13.6,27.4,30.1,,2.0,4.0,100.0,0.08886914,0.176842478,98.99199787799999,city
2933,51678.0,VA,Lexington,9.7,8.1,27.4,30.1,,1.0,1.0,0.0,0.143554407,0.141103429,-1.707351489,city
2934,51680.0,VA,Lynchburg,11.3,11.3,27.4,30.1,,11.0,14.0,27.272727273,0.143569396,0.175192712,22.026501879,city
2935,51683.0,VA,Manassas,10.4,8.2,27.4,30.1,,5.0,10.0,100.0,0.127635677,0.241213788,88.98617845,city
2936,51685.0,VA,Manassas Park,8.8,7.9,27.4,30.1,,0.0,3.0,,0.0,0.18650917,,city
2937,51690.0,VA,Martinsville,13.2,12.8,27.4,30.1,,3.0,3.0,0.0,0.220701832,0.228675966,3.613080265,city
2938,51700.0,VA,Newport News,9.9,12.7,27.4,30.1,,17.0,29.0,70.588235294,0.09437366400000001,0.160764574,70.348979781,city
2939,51710.0,VA,Norfolk,10.4,9.2,27.4,30.1,,19.0,22.0,15.789473684,0.07795671400000001,0.089601355,14.937317636,city
2940,51720.0,VA,Norton,10.3,9.6,27.4,30.1,,1.0,0.0,-100.0,0.244140625,0.0,-100.0,city
2941,51730.0,VA,Petersburg,14.8,15.6,27.4,30.1,,3.0,3.0,0.0,0.093519125,0.09419152300000001,0.71899529,city
2942,51735.0,VA,Poquoson,10.1,11.5,27.4,30.1,,1.0,1.0,0.0,0.08306337700000001,0.083703022,0.7700677990000001,city
2943,51740.0,VA,Portsmouth,12.5,14.0,27.4,30.1,,4.0,7.0,75.0,0.0417807,0.073686537,76.36504310699999,city
2944,51750.0,VA,Radford,7.7,6.9,27.4,30.1,,2.0,1.0,-50.0,0.11887779400000001,0.057438300000000005,-51.682940839,city
2945,51760.0,VA,Richmond,12.7,10.3,27.4,30.1,,12.0,28.0,133.33333333299998,0.0581367,0.124285359,113.78117491100001,city
2946,51770.0,VA,Roanoke,11.7,11.9,27.4,30.1,,13.0,14.0,7.692307692000001,0.134233732,0.140360727,4.564422874,city
2947,51775.0,VA,Salem,9.9,9.3,27.4,30.1,,2.0,2.0,0.0,0.07997121,0.07828707900000001,-2.105922418,city
2948,51790.0,VA,Staunton,11.2,10.2,27.4,30.1,,4.0,4.0,0.0,0.166465521,0.16490085300000001,-0.939934864,city
2949,51800.0,VA,Suffolk,10.9,10.9,27.4,30.1,,4.0,7.0,75.0,0.0471954,0.078392725,66.102425695,city
2950,51810.0,VA,Virginia Beach,9.5,8.0,27.4,30.1,,48.0,59.0,22.916666666999998,0.10838444,0.13070331699999999,20.592326017,city
2951,51820.0,VA,Waynesboro,10.6,9.5,27.4,30.1,,2.0,5.0,150.0,0.09476427400000001,0.229336758,142.00761398,city
2952,51830.0,VA,Williamsburg,9.0,8.9,27.4,30.1,,1.0,2.0,100.0,0.07084159799999999,0.13376137,88.81754949200001,city
2953,51840.0,VA,Winchester,9.9,8.9,27.4,30.1,,5.0,8.0,60.0,0.18753281800000002,0.290212581,54.752956541,city
