,FIPS,State,County,FFR11,FFR16,PCH_FFR_11_16,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16,FSR11,FSR16,PCH_FSR_11_16,FSRPTH11,FSRPTH16,PCH_FSRPTH_11_16,PC_FFRSALES07*,PC_FFRSALES12*,PC_FSRSALES07*,PC_FSRSALES12*,geo_type
2842,51045.0,VA,Craig,1.0,0.0,-100.0,0.193461018,0.0,-100.0,3.0,1.0,-66.666666667,0.5803830529999999,0.19455252899999997,-66.478599222,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2843,51047.0,VA,Culpeper,22.0,34.0,54.545454545,0.46472327799999996,0.675501162,45.355568278999996,32.0,30.0,-6.25,0.6759611320000001,0.596030437,-11.824747184000001,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2844,51049.0,VA,Cumberland,0.0,1.0,,0.0,0.102648327,,3.0,4.0,33.333333333,0.30054097399999996,0.410593307,36.618079791999996,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2845,51051.0,VA,Dickenson,6.0,4.0,-33.333333333,0.38017995200000004,0.265957447,-30.044326241,8.0,7.0,-12.5,0.506906602,0.46542553200000003,-8.183178191,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2846,51053.0,VA,Dinwiddie,7.0,7.0,0.0,0.24898627,0.249776985,0.317573595,10.0,6.0,-40.0,0.35569467200000005,0.21409455800000002,-39.809455843,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2847,51057.0,VA,Essex,9.0,11.0,22.222222222,0.80601827,0.991348234,22.993270848,12.0,14.0,16.666666667,1.074691026,1.2617159340000001,17.402667628,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2848,51059.0,VA,Fairfax,868.0,931.0,7.258064516,0.785008863,0.8133590070000001,3.611442499,723.0,799.0,10.51175657,0.65387259,0.6980385029999999,6.75451364,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2849,51061.0,VA,Fauquier,43.0,53.0,23.255813953,0.6508938439999999,0.77052803,18.379984258,42.0,45.0,7.142857143,0.635756778,0.654221912,2.904433755,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2850,51063.0,VA,Floyd,5.0,4.0,-20.0,0.32469640899999996,0.25546046699999997,-21.323285222,10.0,8.0,-20.0,0.6493928179999999,0.510920935,-21.323285222,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2851,51065.0,VA,Fluvanna,4.0,6.0,50.0,0.15410695,0.229278918,48.779089763,14.0,8.0,-42.857142857,0.539374326,0.305705224,-43.322251519,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
